,x
0,139.39055546344065
1,134.25254423659536
2,136.72942308177142
3,139.82301036666524
4,136.08848940462622
5,137.7422007671442
6,139.76556872517148
7,139.82680666580023
8,137.92569084175756
9,141.48583247590423
10,137.26439753001816
11,139.52737842338985
12,139.35667016943955
13,123.04154607956363
14,140.23567187917246
15,139.38708353948599
16,138.27508253557315
17,137.90582609630914
18,138.8091367563472
19,139.81326145596304
20,138.5710920992557
21,138.34291983187995
22,131.6031011000069
23,122.63211317338498
24,124.84976773022682
25,140.25072763759655
26,139.593350460751
27,109.78361898738453
28,139.28865630767146
29,139.23484911402565
30,137.38180685879894
31,136.21554835807854
32,141.54160479719846
33,140.7177505377038
34,118.5737835970613
35,138.59169472945138
36,139.54408239843565
37,141.51604875783906
38,136.82726555096917
39,127.52070055162105
40,140.1985252496966
41,139.0065153379297
42,138.9829902384696
43,138.57110513047502
44,140.44114051652144
45,138.01150325793444
46,143.03998117893119
47,138.8051877804588
48,140.05836541294468
49,140.6335411723333
50,128.27230861962371
51,140.80016126467947
52,136.76008073780005
53,117.51814282867825
54,105.13192665060328
55,141.11931665315373
56,142.37903859450628
57,137.20785752171508
58,138.14010339924482
59,140.15707789830978
60,141.3183199794271
61,135.4770996786645
62,135.10102384704334
63,140.1726379225863
64,138.13279378305816
65,136.60327662354743
66,140.30553760153117
67,140.2558788683044
68,129.74720558089268
69,141.4754324632132
70,134.67766971297652
71,136.18877038028958
72,120.18412186265849
73,139.1311055749208
74,138.0814598596036
75,137.8708870288005
76,142.07799354209658
77,142.97326851786684
78,138.27049750014152
79,139.87501019239727
80,139.67868377518369
81,138.63555130278723
82,140.30398133216764
83,139.9150242565704
84,129.45383388639195
85,137.26278575448063
86,130.55379426205735
87,135.46457836823453
88,136.31365354493332
89,130.21036476426985
90,133.54583899798735
91,140.71802891252804
92,133.06575515313511
93,141.18918524059868
94,140.93782454110206
95,134.54717187376343
96,135.3939922536716
97,138.23248602570922
98,137.07069012039477
99,132.42046478652773
100,140.0454559133083
101,132.76564398203706
102,139.9654209573113
103,142.47408144270875
104,144.6681296577309
105,144.6632961841302
106,139.76698046053446
107,132.1472849980395
108,144.37403550584852
109,139.49549201251284
110,135.88106342010076
111,132.9036849459238
112,137.9836360040561
113,139.86248211146932
114,135.6467953385836
115,105.33066218296204
116,138.16280056659483
117,138.6736643454965
118,139.04614342806195
119,132.9729874960321
120,139.24912801371218
121,138.9381828893046
122,139.6518644368773
123,141.69226790022094
124,140.0311763478376
125,136.13671037279207
126,142.1669675078025
127,132.21331124700737
128,138.97548686997243
129,126.27707737919164
130,133.31530041420393
131,141.58886567689888
132,138.13791302190535
133,134.5793432361369
134,141.44510020085008
135,138.98813922808137
136,135.9146413909848
137,134.783257307745
138,113.87227113132732
139,134.61278209776074
140,134.15447313097647
141,139.90320710959259
142,141.27466101705525
143,136.69301809310875
144,139.9918162168198
145,137.76620595347072
146,139.7591126843294
147,141.64832821268067
148,139.3305189096455
149,144.64914776145383
150,140.900100190623
151,138.34946094209454
152,139.1465598762904
153,133.7006520842392
154,138.59089705470038
155,117.43917007015709
156,140.87669273333108
157,139.0103719166676
158,138.63051179777776
159,142.76090213537793
160,139.30592847351576
161,113.90535004486784
