,x
0,5359.394420649907
1,6214.847410393085
2,5655.338408312149
3,5262.958596953722
4,5972.714743223698
5,5489.327715441211
6,5361.9521227964815
7,5843.316678312818
8,5963.292831768897
9,5440.811281308765
10,5092.2020352396685
11,5646.9953154074465
12,5946.875471220611
13,5781.887905102926
14,5191.751358790161
15,5542.871710319038
16,5484.349289242108
17,5357.165100135264
18,5197.662697870173
19,5877.010965875501
20,5368.528512554967
21,5846.020576440968
22,5898.25460917427
23,5418.474297000827
24,5658.824111557889
25,5641.291432095705
26,6207.195260380057
27,6441.025503657347
28,5880.745329792674
29,6268.102215366024
30,6204.660836140599
31,5408.965508206897
32,6493.179730903235
33,5456.6383236185275
34,5091.227950761644
35,5547.476449294025
36,5410.829175970187
37,5885.205580786058
38,5258.911622051934
39,5764.808475473936
40,5939.194900010007
41,5238.716996775367
42,5803.7825844164645
43,5494.0135064241
44,5621.383780641797
45,5660.825991552967
46,5720.281843680599
47,5051.182674946875
48,5756.974780163631
49,5305.742614768858
50,5862.386611690919
51,5764.30244450658
52,5315.845410957703
53,5327.6868518210085
54,5245.654120068348
55,5392.72436469933
56,5420.868963906424
57,5686.932593562666
58,5616.565532265821
59,5290.783642425355
60,6035.666908264326
61,5040.36446294447
62,5500.749112668999
63,5288.157058199195
64,5232.809606232073
65,5512.2909326449635
66,5504.978910315404
67,5569.468916241517
68,5181.245309757203
69,5623.128053719917
70,5234.533194866357
71,5475.596669584212
72,5957.851714108352
73,5442.49057181043
74,5504.374459515026
75,5316.923369898936
76,5730.809504229255
77,5549.9574899845975
78,6214.916872656742
79,5384.83235885499
80,5463.166674924667
81,5665.7101558121485
82,6051.770850923559
83,5387.256961411951
84,5629.521912256987
85,6182.632730492776
86,5953.519024238391
87,5385.601757040653
88,5459.513360984669
89,6154.54536780775
90,5459.249235362973
91,5199.818336177639
92,5344.997713415431
93,5456.681026573793
94,5480.0976783976685
95,5568.3923017256675
96,6304.270880001077
97,5465.175958731129
98,5500.846691195903
99,5378.907475865237
